id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
1,The Honest Company,https://www.linkedin.com/sales/accounts/insights?companyId=2419103,http://www.honest.com,Greater Los Angeles Area,Consumer Goods,201-500,373 employees on LinkedIn,2419103
2,Navajo Incorporated,https://www.linkedin.com/sales/accounts/insights?companyId=1545940,http://www.navajoinc.com,Greater Denver Area,Consumer Goods,201-500,122 employees on LinkedIn,1545940
3,Pampered Chef,https://www.linkedin.com/sales/accounts/insights?companyId=9141,http://www.pamperedchef.com,Greater Chicago Area,Consumer Goods,201-500,"7,663 employees on LinkedIn",9141
4,The Topps Company,https://www.linkedin.com/sales/accounts/insights?companyId=17951,http://www.topps.com,Greater New York City Area,Consumer Goods,201-500,484 employees on LinkedIn,17951
5,Munchkin,https://www.linkedin.com/sales/accounts/insights?companyId=708676,http://www.munchkin.com,Greater Los Angeles Area,Consumer Goods,201-500,253 employees on LinkedIn,708676
6,Rodan   Fields,https://www.linkedin.com/sales/accounts/insights?companyId=481946,http://www.rodanandfields.com,San Francisco Bay Area,Consumer Goods,201-500,"24,848 employees on LinkedIn",481946
7,Burt's Bees,https://www.linkedin.com/sales/accounts/insights?companyId=22679,http://www.burtsbees.com,"Raleigh-Durham, North Carolina Area",Consumer Goods,201-500,358 employees on LinkedIn,22679
8,Beretta USA,https://www.linkedin.com/sales/accounts/insights?companyId=51185,http://www.beretta.com/en-us/,"Greater Nashville Area, TN",Consumer Goods,201-500,228 employees on LinkedIn,51185
9,"Kawasaki Motors Corp., U.S.A.",https://www.linkedin.com/sales/accounts/insights?companyId=49550,http://www.kawasaki.com,"Orange County, California Area",Consumer Goods,201-500,814 employees on LinkedIn,49550
10,"Boots Retail USA, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=5208278,http://www.walgreensbootsalliance.com,Greater New York City Area,Consumer Goods,201-500,881 employees on LinkedIn,5208278
11,Annie's Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=67128,http://www.annies.com,San Francisco Bay Area,Consumer Goods,201-500,134 employees on LinkedIn,67128
12,FIJI Water,https://www.linkedin.com/sales/accounts/insights?companyId=10913,http://www.fijiwater.com,Greater Los Angeles Area,Consumer Goods,201-500,440 employees on LinkedIn,10913
13,method products pbc,https://www.linkedin.com/sales/accounts/insights?companyId=353695,http://www.methodhome.com,San Francisco Bay Area,Consumer Goods,201-500,178 employees on LinkedIn,353695
14,Heartland Food Products Group,https://www.linkedin.com/sales/accounts/insights?companyId=510883,http://www.heartlandfpg.com,"Indianapolis, Indiana Area",Consumer Goods,201-500,345 employees on LinkedIn,510883
15,S,https://www.linkedin.com/sales/accounts/insights?companyId=121861,http://www.sksales.com/,"Norfolk, Virginia Area",Consumer Goods,201-500,"2,628 employees on LinkedIn",121861
16,Dollar Shave Club,https://www.linkedin.com/sales/accounts/insights?companyId=3665712,http://dlrshv.es/LinkedIn,Greater Los Angeles Area,Consumer Goods,201-500,286 employees on LinkedIn,3665712
17,Jakks Pacific,https://www.linkedin.com/sales/accounts/insights?companyId=17196,http://www.jakks.com,Greater Los Angeles Area,Consumer Goods,201-500,818 employees on LinkedIn,17196
18,"KTM Group North America, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2541561,http://www.ktm.com/us/,Greater Los Angeles Area,Consumer Goods,201-500,168 employees on LinkedIn,2541561
19,Haier America,https://www.linkedin.com/sales/accounts/insights?companyId=34962,http://www.haieramerica.com,Greater New York City Area,Consumer Goods,201-500,216 employees on LinkedIn,34962
20,Ariat International,https://www.linkedin.com/sales/accounts/insights?companyId=51205,http://www.ariat.com,United States,Consumer Goods,201-500,416 employees on LinkedIn,51205
21,Nature's Variety,https://www.linkedin.com/sales/accounts/insights?companyId=1008271,http://www.naturesvariety.com,Greater St. Louis Area,Consumer Goods,201-500,196 employees on LinkedIn,1008271
